,PLANT,LAT,LONG,CAST,AHOS,ALBE,ALEX,ALTA,BLUE,CHAR,CHES,CHUC,ELIZ,EMER,ERIC,FAIR,FARM,FISH,FRED,GLOU,HERN,KHWK,LEES,MIDL,MILL,NNCK,NORF,ORAN,PENI,PETE,RICH,ROAN,ROCK,SBOS,SHEN,SMTR,SPRI,SSID,VBCH,WARR,WILL,WOOD
18,KHWK,36.066421999999996,-75.693481,137.04552630756172,73.60505008798768,77.56446157312114,203.24771491434856,211.94879332018598,235.31019455158756,204.7974432320956,58.66789728833644,67.37178622243108,33.73617639222629,137.04552630756172,140.2442185808591,211.44910108697093,172.16595074594323,228.71763947470907,182.59809244071025,106.64611399606146,220.9445469234421,,233.44478783143904,146.97466265096656,425.8678332790375,126.61280726399107,63.40794264934075,197.6449015531234,75.58888991750142,122.5399819031944,140.2442185808591,112.66516650497167,238.73462455985788,183.70184765557647,248.20584962013604,137.04552630756172,204.98182160012738,142.92684654702373,56.59508041979659,216.26045417320063,100.40440451983686,198.6448567188732
19,LEES,39.108002,-77.550636,113.52922100541988,197.3639824802298,226.42086101768632,34.22307424168556,167.08299470805966,105.51142035158627,89.76205456260429,175.7021128831982,172.6747398924592,206.99008862840168,113.52922100541988,108.46640484020115,22.344447809740807,132.87213940526354,103.56925581809352,55.8184884591149,126.84136786939503,13.090716620032117,233.44478783143904,,110.98555221806339,315.3621164499509,107.6959771745192,170.48841844697066,64.39630021696001,158.0094525828915,131.74809742989123,108.46640484020115,183.32557461263644,137.59293820635946,182.01852714324474,53.62251918515173,113.52922100541988,29.612003766882406,167.53593462116703,177.79152156017696,30.250396696421454,134.94903166237927,34.82031043669165
20,MIDL,37.503651,-77.651749,11.509389671367618,91.79915506924506,118.63140742970204,95.72009209633822,93.78198132569942,89.46547214347991,57.87196533829564,90.71185942265907,79.60300232111825,114.54164052371685,11.509389671367618,12.094522087170843,94.64070739479517,42.94686856160116,82.85500965599714,56.21885455507151,60.031033529832676,102.33412830085778,146.97466265096656,110.98555221806339,,395.9520822261276,65.0858908549779,87.68533419687826,55.1600523231824,79.13733989798007,25.194601349028815,12.094522087170843,72.3837268968314,100.04573286572327,88.51483128649654,105.91285501883809,11.509389671367618,92.113814267927,59.78884197089112,102.52417318889923,83.98079775244966,54.28073634470434,83.12255792060455
21,MILL,41.7658,-72.6734,390.73078003043605,443.5407642998941,471.5059624840371,308.1282381628471,477.1059184862071,420.85530342622866,401.42632546430406,395.64069651804607,405.98586948737125,422.74857103331783,390.73078003043605,386.4003423909613,316.5910336811331,433.364150990067,418.6691863469898,348.27385329462913,363.0993878880645,314.25909526979325,425.8678332790375,315.3621164499509,395.9520822261276,,342.7262847932218,390.5758758067693,372.5918307214298,381.37918629131644,402.9387436698647,386.4003423909613,453.66651336871803,452.71802906783006,483.1235459864147,366.0644223640813,390.73078003043605,314.5770909271461,454.15808520720856,382.58775988513975,342.60054726586714,377.6413538130723,322.62346805049333
22,NNCK,37.777639,-76.513563,55.41133643934037,106.23230958001322,136.20801561769608,76.63952750201418,158.86233176806752,141.74117609225573,108.42611382941732,70.84391566362561,72.61098614087841,103.19282624366667,55.41133643934037,53.047024194159015,85.43097103705925,108.02459251002645,135.63822724756184,63.03781136331362,23.104246506351853,94.90147827047869,126.61280726399107,107.6959771745192,65.0858908549779,342.7262847932218,,65.25135769805475,87.93064638239956,52.622358660035275,62.1192709281086,53.047024194159015,110.94167676056259,160.16424043295459,151.01927024828413,132.2073827449009,55.41133643934037,78.65856990987864,114.75174908327487,70.34386322196788,94.99048339619927,36.6020514774124,72.97326241912182
23,NORF,36.850769,-76.285873,76.81167899733931,54.9725236584034,81.06436779691161,141.25544416089443,166.5392821152137,177.15056747590663,145.16681935973222,5.705123958191726,18.50350125166307,38.061555797350266,76.81167899733931,79.24472441198962,148.68753603806348,120.20865413233771,170.5394183425684,119.19468448637544,43.74939275800313,158.16524419710748,63.40794264934075,170.48841844697066,87.68533419687826,390.5758758067693,65.25135769805475,,135.2532537202465,12.654439835917621,65.52926942714174,79.24472441198962,80.75906866628736,185.1783204944934,145.12832953620781,185.33739216422808,76.81167899733931,142.46076579720184,102.35272681856476,17.023257905494724,152.856089356252,37.17733310469741,135.77352832195334
24,ORAN,38.249035,-78.013983,62.265951333816226,146.91201212698627,173.6739999768621,64.86177998064954,104.92272278826192,57.88731975977296,29.371981802858183,139.35993179542967,131.1252396732372,166.68680214767812,62.265951333816226,58.206556055728456,56.25472319214528,68.60569338924518,52.909634650172784,30.25363976730552,96.85999696082175,60.306665591373424,197.6449015531234,64.39630021696001,55.1600523231824,372.5918307214298,87.93064638239956,135.2532537202465,,124.41259191890532,79.81279499502728,58.206556055728456,125.4238880603383,84.42233979213243,117.64786472909105,51.160107106084986,62.265951333816226,58.07685104807809,105.38326562918178,147.44921721146443,34.21888279776333,98.29652870196541,50.47820471633056
25,PENI,37.028271000000004,-76.342339,67.89487372511127,62.385973801797874,90.26197832038822,128.61551099141906,162.35685857523617,168.35431061613744,135.8655717226986,18.222417193000357,24.63893599124571,50.599188504803195,67.89487372511127,69.77516378950916,136.14917647266537,114.4240721570313,161.76715686149427,107.23488271549773,31.18636784612306,145.633227901468,75.58888991750142,158.0094525828915,79.13733989798007,381.37918629131644,52.622358660035275,12.654439835917621,124.41259191890532,,58.878631022062535,69.77516378950916,82.84358490773164,178.12622049697654,143.27896469566974,174.03818272062028,67.89487372511127,129.87445899540123,100.92949792699464,23.486968920700825,140.86995565865863,26.17050068707912,123.26075424905507
26,PETE,37.205502,-77.387642,18.3522114263898,67.28098844798464,95.14237127766219,112.04928225963846,104.70982904076348,112.8889226155636,82.41361177231234,67.81886860067125,55.31512589908997,89.7225528439273,18.3522114263898,23.313787157477353,113.44947368960938,55.63343605595171,106.28145623073542,75.94806107841515,48.4244599206737,121.89671766311596,122.5399819031944,131.74809742989123,25.194601349028815,402.9387436698647,62.1192709281086,65.52926942714174,79.81279499502728,58.878631022062535,,23.313787157477353,53.88636934276737,119.66560540059817,90.6182867599286,130.82659355482815,18.3522114263898,109.7325558075783,52.637322760550425,81.48159285310614,106.55871375125953,37.68514704306652,101.0320036529978
27,RICH,37.540726,-77.43605,5.136766967573699,90.15303806294413,118.3920151792914,89.86253304755145,105.8505383876809,98.70153336491822,66.0943204790056,82.75997372780199,73.20239008224095,108.67593187096767,5.136766967573699,0.0,90.47586921538655,54.982507330047184,92.13986010850662,52.69878749857787,48.50656626868701,98.77534292345067,140.2442185808591,108.46640484020115,12.094522087170843,386.4003423909613,53.047024194159015,79.24472441198962,58.206556055728456,69.77516378950916,23.313787157477353,,75.93194869051909,111.21263076137308,99.50579854372567,109.35298047068206,5.136766967573699,87.0822464177596,67.98529381725929,93.26209456561932,83.37628068284059,44.12645313171918,78.26115644333242
